epoch,accuracy,loss,val_accuracy,val_loss
0,0.21540965139865875,5.047454357147217,0.2952684164047241,4.200305461883545
1,0.34318968653678894,3.8525328636169434,0.39877849817276,3.4116780757904053
2,0.42435842752456665,3.250032424926758,0.4901067018508911,2.871535062789917
3,0.49616533517837524,2.7822999954223633,0.5554599761962891,2.440518379211426
4,0.5510212182998657,2.4046671390533447,0.6053043007850647,2.0960254669189453
5,0.5970662832260132,2.087031126022339,0.6527103781700134,1.804206371307373
6,0.6380977630615234,1.8158236742019653,0.6962997913360596,1.5598911046981812
7,0.674456775188446,1.5875812768936157,0.7285677194595337,1.3672252893447876
8,0.7061975598335266,1.3983310461044312,0.7566387057304382,1.2112137079238892
9,0.7318866848945618,1.245936632156372,0.7770954370498657,1.0956493616104126
10,0.7543389797210693,1.1189968585968018,0.794196605682373,0.9980621337890625
11,0.7733241319656372,1.013753056526184,0.8083842396736145,0.9253314733505249
12,0.789378821849823,0.9261305332183838,0.8204140067100525,0.863246738910675
13,0.8036640286445618,0.8518160581588745,0.8300767540931702,0.814132809638977
14,0.8155835270881653,0.7894742488861084,0.8374723792076111,0.7763811945915222
15,0.8258896470069885,0.7338857650756836,0.8432520031929016,0.7435828447341919
16,0.8351512551307678,0.6866077780723572,0.8514745831489563,0.7119636535644531
17,0.8440755009651184,0.6443806290626526,0.8554290533065796,0.6900240778923035
18,0.851306676864624,0.607563316822052,0.8598968386650085,0.6699345111846924
19,0.8575097322463989,0.5756279230117798,0.8644169569015503,0.6510726809501648
20,0.863481879234314,0.5465900301933289,0.8678723573684692,0.6390720009803772
21,0.8690295815467834,0.5197107791900635,0.868542492389679,0.6343254446983337
22,0.8738918304443359,0.4955751597881317,0.8724921941757202,0.6180789470672607
23,0.8783085942268372,0.4749239683151245,0.8757194876670837,0.6064857840538025
24,0.8828983306884766,0.4538571238517761,0.8770502805709839,0.6043365001678467
25,0.8866665363311768,0.4365071654319763,0.879084587097168,0.5970825552940369
26,0.8904463648796082,0.418588787317276,0.8809334635734558,0.5875003337860107
27,0.8937469720840454,0.4027431607246399,0.8830723166465759,0.5846978425979614
28,0.8970686197280884,0.38921406865119934,0.883124589920044,0.5844991207122803
29,0.8999648094177246,0.3759324550628662,0.8858765363693237,0.578682005405426
30,0.9029837846755981,0.36297550797462463,0.8860144019126892,0.5776625871658325
31,0.9054349660873413,0.3513798117637634,0.887706458568573,0.569981038570404
32,0.9080780744552612,0.3402395248413086,0.889778733253479,0.5694948434829712
33,0.9101986289024353,0.330661803483963,0.8904061317443848,0.5667690634727478
34,0.9123150110244751,0.3220033645629883,0.8912616968154907,0.5657289624214172
